energy	raw_row	raw_index	raw_basis_element	bv_variable	field_redefinition	conventional_bv_ghost_number	antifield_number	local_tangent_degree	compact_degree	primary_weight	polynomial_level	so4_content	differential_image	differential_target	image_nnz	equality_certificate
2	G_n	25	c_mu_1[P1*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	26	c_mu_1[P1*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	27	c_mu_1[P1^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	28	c_mu_1[P1^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	29	c_mu_1[P1^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	30	c_mu_1[P0*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	31	c_mu_1[P0*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	32	c_mu_1[P0*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	33	c_mu_1[P0*P1*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	34	c_mu_1[P0*P1*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	35	c_mu_1[P0*P1^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	36	c_mu_1[P0^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	37	c_mu_1[P0^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	38	c_mu_1[P0^2*P1]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	39	c_mu_1[P0^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	40	c_mu_2[P3^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	41	c_mu_2[P2*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	42	c_mu_2[P2^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	43	c_mu_2[P2^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	44	c_mu_2[P1*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	45	c_mu_2[P1*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	46	c_mu_2[P1*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	47	c_mu_2[P1^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	48	c_mu_2[P1^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	49	c_mu_2[P1^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	50	c_mu_2[P0*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	51	c_mu_2[P0*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	52	c_mu_2[P0*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	53	c_mu_2[P0*P1*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	54	c_mu_2[P0*P1*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	55	c_mu_2[P0*P1^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	56	c_mu_2[P0^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	57	c_mu_2[P0^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	58	c_mu_2[P0^2*P1]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	59	c_mu_2[P0^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	60	c_mu_3[P3^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	61	c_mu_3[P2*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	62	c_mu_3[P2^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	63	c_mu_3[P2^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	64	c_mu_3[P1*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	65	c_mu_3[P1*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	66	c_mu_3[P1*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	67	c_mu_3[P1^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	68	c_mu_3[P1^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	69	c_mu_3[P1^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	70	c_mu_3[P0*P3^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	71	c_mu_3[P0*P2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	72	c_mu_3[P0*P2^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	73	c_mu_3[P0*P1*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	5	exact
2	G_n	74	c_mu_3[P0*P1*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	3	exact
2	G_n	75	c_mu_3[P0*P1^2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	76	c_mu_3[P0^2*P3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	4	exact
2	G_n	77	c_mu_3[P0^2*P2]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	78	c_mu_3[P0^2*P1]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	2	exact
2	G_n	79	c_mu_3[P0^3]	diffeomorphism ghost c_mu	c_raw=c	1	0	-1	2	-1	3	(1/2,1/2) tensor Sym^3(1/2,1/2)	K_0 c	M_n:h_0	1	exact
2	G_n	80	Omega[P3^2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	81	Omega[P2*P3]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	82	Omega[P2^2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	83	Omega[P1*P3]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	84	Omega[P1*P2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	85	Omega[P1^2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	86	Omega[P0*P3]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	87	Omega[P0*P2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	88	Omega[P0*P1]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	G_n	89	Omega[P0^2]	Weyl ghost omega	Omega=omega+(partial.c)/4	1	0	-1	2	0	2	(0,0) tensor Sym^2(1/2,1/2)	tau	M_n:tau	1	exact
2	M_n	90	h_0_(01)[P3^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	91	h_0_(01)[P2*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	92	h_0_(01)[P2^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	93	h_0_(01)[P1*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	94	h_0_(01)[P1*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	95	h_0_(01)[P1^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	96	h_0_(01)[P0*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	97	h_0_(01)[P0*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	98	h_0_(01)[P0*P1]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	99	h_0_(01)[P0^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	100	h_0_(02)[P3^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	101	h_0_(02)[P2*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	102	h_0_(02)[P2^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	103	h_0_(02)[P1*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	104	h_0_(02)[P1*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	105	h_0_(02)[P1^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	106	h_0_(02)[P0*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	107	h_0_(02)[P0*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	108	h_0_(02)[P0*P1]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	109	h_0_(02)[P0^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	110	h_0_(03)[P3^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	111	h_0_(03)[P2*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	112	h_0_(03)[P2^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	113	h_0_(03)[P1*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	114	h_0_(03)[P1*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	115	h_0_(03)[P1^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	116	h_0_(03)[P0*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	117	h_0_(03)[P0*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	118	h_0_(03)[P0*P1]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	119	h_0_(03)[P0^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	120	h_0_(12)[P3^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	121	h_0_(12)[P2*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	122	h_0_(12)[P2^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	123	h_0_(12)[P1*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	124	h_0_(12)[P1*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	125	h_0_(12)[P1^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	126	h_0_(12)[P0*P3]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	127	h_0_(12)[P0*P2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	128	h_0_(12)[P0*P1]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
2	M_n	129	h_0_(12)[P0^2]	trace-free metric fluctuation	h_0=h-eta tr(h)/4	0	0	0	2	0	2	(1,1) tensor Sym^2(1/2,1/2)	B_lin h_0	E_n:hstar_0	0	exact
